무게,단가,날짜
1037862,1564.142857,2010-10-01
1035993,1448.428571,2010-10-02
792564,1171.714286,2010-10-03
2181176,1119.857143,2010-10-04
986784,1289.428571,2010-10-05
237330,1861.142857,2010-10-06
206976,1967.857143,2010-10-07
535770,1652.428571,2010-10-08
757002,1551.428571,2010-10-09
1209828,1414.714286,2010-10-10
2445822,1535.285714,2010-10-11
2271492,1929.571429,2010-10-12
2552820,1652.285714,2010-10-13
2172282,1518.285714,2010-10-14
2507238,1638.285714,2010-10-15
1473936,1674.428571,2010-10-16
501906,2653,2010-10-17
655560,2200.142857,2010-10-18
1265166,2201.428571,2010-10-19
1193352,2098.285714,2010-10-20
803868,2482.571429,2010-10-21
114252,2704.571429,2010-10-22
144,357.1428571,2010-10-23
0,0,2010-10-24
4158,684.4285714,2010-10-25
2412,308.2857143,2010-10-26
1062,203.1428571,2010-10-27
135918,2517,2010-10-28
629568,2253.571429,2010-10-29
1038924,2017.285714,2010-10-30
1419006,2053.428571,2010-10-31
1328796,2009,2010-11-01
784650,2229.428571,2010-11-02
817776,1963,2010-11-03
1618362,1971.571429,2010-11-04
1544670,1662.571429,2010-11-05
1221759,1895.428571,2010-11-06
1064880,2077.714286,2010-11-07
620984,3515.714286,2010-11-08
528900,2193.142857,2010-11-09
185052,1876,2010-11-10
243720,2399.142857,2010-11-11
408582,2232.142857,2010-11-12
58404,2520.714286,2010-11-13
1036959,2126.714286,2010-11-14
718062,2298.428571,2010-11-15
249013,2481.714286,2010-11-16
203148,2656.857143,2010-11-17
136038,3120.571429,2010-11-18
313110,3683,2010-11-19
459663,2886.571429,2010-11-20
98391,2843.142857,2010-11-21
19,353.4285714,2010-11-22
198,2619,2010-11-23
0,0,2010-11-24
0,0,2010-11-25
206119,2833.285714,2010-11-26
201096,2697.571429,2010-11-27
248892,2532.142857,2010-11-28
192456,2774.857143,2010-11-29
145638,2773.428571,2010-11-30
479592,2494,2010-12-01
843348,2695.857143,2010-12-02
557418,2706.571429,2010-12-03
192144,2877.428571,2010-12-04
